,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
93,-33.31662,-70.86052,297.08,0.69,0.74,2022-03-13,440,1,nominal,2.0NRT,284.72,2.05,N
99,-35.53283,-71.67692,321.14,0.66,0.73,2022-03-13,442,1,nominal,2.0NRT,285.46,2.69,N
100,-35.53062,-71.68409,305.97,0.66,0.73,2022-03-13,442,1,nominal,2.0NRT,285.74,2.69,N
101,-35.53386,-71.67885,331.84,0.66,0.73,2022-03-13,442,1,nominal,2.0NRT,285.43,4.43,N
148,-37.91467,-72.31624000000001,296.25,0.61,0.71,2022-03-13,442,1,nominal,2.0NRT,284.67,0.91,N
149,-37.91698,-72.30882,296.66,0.61,0.71,2022-03-13,442,1,nominal,2.0NRT,284.87,0.91,N
150,-38.396840000000005,-72.40245,305.0,0.6,0.7,2022-03-13,442,1,nominal,2.0NRT,282.02,1.66,N
163,-17.49147,-71.35645,325.01,0.53,0.42,2022-03-13,616,1,nominal,2.0NRT,281.14,4.36,N
164,-17.49086,-71.36102,315.12,0.53,0.42,2022-03-13,616,1,nominal,2.0NRT,280.44,3.93,N
166,-23.77862,-70.31792,300.65,0.48,0.48,2022-03-13,618,1,nominal,2.0NRT,287.3,1.02,N
167,-23.783079999999998,-70.31855999999999,302.3,0.48,0.48,2022-03-13,618,1,nominal,2.0NRT,287.7,1.02,N
168,-23.82426,-70.31494,327.45,0.48,0.48,2022-03-13,618,1,nominal,2.0NRT,288.58,2.55,N
169,-23.8237,-70.31981999999999,299.82,0.48,0.48,2022-03-13,618,1,nominal,2.0NRT,288.03,2.55,N
170,-23.82212,-70.3167,331.2,0.48,0.48,2022-03-13,618,1,nominal,2.0NRT,289.64,4.89,N
172,-28.480040000000002,-71.24956999999999,305.25,0.48,0.48,2022-03-13,620,1,nominal,2.0NRT,288.41,1.37,N
173,-32.80301,-70.9549,338.15,0.56,0.52,2022-03-13,622,1,nominal,2.0NRT,287.09,7.57,N
174,-32.803540000000005,-70.94903000000001,305.66,0.56,0.52,2022-03-13,622,1,nominal,2.0NRT,285.65,7.57,N
175,-32.75994,-71.47787,339.89,0.52,0.5,2022-03-13,622,1,nominal,2.0NRT,287.35,8.21,N
176,-32.75806,-71.47935,331.75,0.52,0.5,2022-03-13,622,1,nominal,2.0NRT,285.29,4.98,N
177,-32.758559999999996,-71.47368,324.73,0.53,0.5,2022-03-13,622,1,nominal,2.0NRT,283.18,4.1,N
178,-32.80298,-70.9502,334.76,0.56,0.52,2022-03-13,622,1,nominal,2.0NRT,286.82,9.94,N
179,-32.80249,-70.95609,301.88,0.56,0.52,2022-03-13,622,1,nominal,2.0NRT,285.93,5.82,N
180,-33.349779999999996,-70.79861,296.24,0.58,0.52,2022-03-13,622,1,nominal,2.0NRT,286.1,1.65,N
181,-36.603970000000004,-72.18092,302.46,0.53,0.5,2022-03-13,622,1,nominal,2.0NRT,285.04,1.29,N
184,-37.914840000000005,-72.30881,295.62,0.54,0.51,2022-03-13,622,1,nominal,2.0NRT,285.55,0.8,N
185,-37.91953,-72.30955,295.75,0.54,0.51,2022-03-13,622,1,nominal,2.0NRT,284.82,0.72,N
188,-38.046440000000004,-72.34633000000001,304.64,0.54,0.5,2022-03-13,622,1,nominal,2.0NRT,284.03,1.27,N
190,-38.03147,-73.22863000000001,301.39,0.48,0.48,2022-03-13,622,1,nominal,2.0NRT,285.61,0.85,N
194,-38.33023,-72.76762,298.01,0.51,0.49,2022-03-13,622,1,nominal,2.0NRT,284.11,0.82,N
1060,-17.49409,-71.35628,343.35,0.48,0.48,2022-03-13,1847,1,nominal,2.0NRT,303.98,9.04,D
1448,-36.30007,-71.89175,344.35,0.39,0.36,2022-03-13,1843,1,nominal,2.0NRT,319.02,18.11,D
1449,-36.29673,-71.89256999999999,343.38,0.39,0.36,2022-03-13,1843,1,nominal,2.0NRT,313.84,18.11,D
1454,-35.40238,-72.36131,338.46,0.39,0.36,2022-03-13,1843,1,nominal,2.0NRT,305.39,3.98,D
1456,-32.80243,-70.95087,337.69,0.44,0.38,2022-03-13,1843,1,low,2.0NRT,308.52,21.21,D
1457,-32.802640000000004,-70.94964,334.04,0.44,0.38,2022-03-13,1843,1,low,2.0NRT,306.38,13.62,D
1478,-27.41651,-70.26151999999999,338.06,0.56,0.43,2022-03-13,1845,1,low,2.0NRT,310.74,4.15,D
1479,-27.41405,-70.26395,338.2,0.56,0.43,2022-03-13,1845,1,low,2.0NRT,310.75,3.66,D
1483,-23.827379999999998,-70.31477,343.9,0.43,0.46,2022-03-13,1845,1,nominal,2.0NRT,312.52,6.8,D
1484,-23.82705,-70.31456,347.62,0.43,0.46,2022-03-13,1845,1,nominal,2.0NRT,312.88,5.85,D
