,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
20,-38.4332,-72.77705,302.83,3.06,1.66,2022-02-23,257,T,25,6.1NRT,282.37,36.32,N
21,-38.4187,-72.7507,302.23,3.05,1.66,2022-02-23,257,T,48,6.1NRT,282.31,40.62,N
22,-38.42064,-72.78588,309.34,3.06,1.66,2022-02-23,257,T,77,6.1NRT,283.0,61.67,N
23,-38.12924,-72.8699,302.09,3.08,1.67,2022-02-23,257,T,37,6.1NRT,276.62,39.29,N
24,-37.94621,-72.30476,312.76,2.83,1.61,2022-02-23,257,T,86,6.1NRT,283.45,66.22,N
25,-37.94818,-72.33749,300.92,2.84,1.61,2022-02-23,257,T,35,6.1NRT,277.83,30.82,N
26,-37.93155,-72.3064,327.83,2.83,1.61,2022-02-23,257,T,100,6.1NRT,283.79,131.68,N
27,-37.93349,-72.3391,322.06,2.84,1.61,2022-02-23,257,T,100,6.1NRT,279.92,102.22,N
330,-32.75392,-71.47256999999999,308.24,1.49,1.21,2022-02-23,622,A,74,6.1NRT,279.14,21.01,N
331,-38.12774,-72.88246,303.07,1.45,1.19,2022-02-23,622,A,53,6.1NRT,283.32,13.8,N
332,-38.12943,-72.8661,301.87,1.46,1.19,2022-02-23,622,A,45,6.1NRT,284.96,12.63,N
1117,-38.555479999999996,-72.38036,315.24,1.94,1.36,2022-02-23,1823,A,63,6.1NRT,290.55,28.89,D
1118,-38.11807,-72.06149,318.12,1.83,1.33,2022-02-23,1823,A,74,6.1NRT,285.35,39.49,D
1119,-38.10601,-72.06322,307.7,1.83,1.33,2022-02-23,1823,A,31,6.1NRT,281.04,18.63,D
1120,-38.11145,-72.04803000000001,308.5,1.83,1.32,2022-02-23,1823,A,42,6.1NRT,280.72,18.96,D
1121,-38.11339,-72.06944,312.95,1.83,1.33,2022-02-23,1823,A,38,6.1NRT,284.37,26.97,D
1122,-38.15271,-72.81316,317.82,2.04,1.39,2022-02-23,1823,A,56,6.1NRT,285.94,45.44,D
1123,-38.03014,-71.95373000000001,325.49,1.8,1.32,2022-02-23,1823,A,63,6.1NRT,283.07,56.04,D
1124,-38.03178,-71.97278,324.29,1.81,1.32,2022-02-23,1823,A,72,6.1NRT,288.79,53.68,D
1125,-37.9344,-72.31931,310.08,1.89,1.34,2022-02-23,1823,A,44,6.1NRT,280.27,23.41,D
1126,-37.93092,-72.32688,310.26,1.89,1.34,2022-02-23,1823,A,60,6.1NRT,278.78,24.72,D
1131,-33.72992,-71.50321,326.51,1.49,1.21,2022-02-23,1823,A,69,6.1NRT,282.79,41.15,D
1327,-32.80458,-70.95446,321.09,1.35,1.15,2022-02-23,1825,A,76,6.1NRT,302.44,16.61,D
1836,-33.7322,-71.46765,301.42,1.17,1.07,2022-02-24,342,T,41,6.1NRT,285.53,7.96,N
1837,-33.73428,-71.4801,302.0,1.16,1.07,2022-02-24,342,T,46,6.1NRT,286.46,8.38,N
1838,-33.72466,-71.48248000000001,310.41,1.16,1.07,2022-02-24,342,T,80,6.1NRT,285.13,14.5,N
2129,-27.41902,-70.26073000000001,325.12,1.03,1.02,2022-02-24,1441,T,68,6.1NRT,310.67,8.73,D
2146,-32.80539,-70.95166,319.53,1.01,1.0,2022-02-24,1441,T,70,6.1NRT,304.43,8.37,D
2157,-35.47432,-69.57774,308.15,1.05,1.02,2022-02-24,1444,T,29,6.1NRT,293.6,3.34,D
2158,-35.96663,-71.68072,305.74,1.0,1.0,2022-02-24,1444,T,59,6.1NRT,293.5,3.28,D
2159,-36.14783,-71.82565,308.1,1.0,1.0,2022-02-24,1444,T,34,6.1NRT,294.2,3.81,D
2829,-27.15359,-109.39544,315.31,1.73,1.29,2022-02-24,2048,A,46,6.1NRT,297.08,13.96,D
