,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
248,-53.75404,-69.82925,363.04,1.12,1.05,2022-02-04,401,T,100,6.1NRT,277.5,117.66,N
249,-53.756980000000006,-69.84585,315.23,1.12,1.05,2022-02-04,401,T,91,6.1NRT,274.09,21.31,N
260,-53.75466,-69.8034,305.42,4.08,1.87,2022-02-04,418,A,30,6.1NRT,273.41,91.86,N
261,-53.757769999999994,-69.8092,306.36,4.08,1.87,2022-02-04,418,A,44,6.1NRT,273.53,96.21,N
336,-53.747730000000004,-69.83951,318.4,1.4,1.17,2022-02-04,557,A,97,6.1NRT,274.19,34.96,N
337,-53.749680000000005,-69.81811,346.82,1.41,1.17,2022-02-04,557,A,100,6.1NRT,277.45,100.74,N
338,-32.79861,-70.94821999999999,301.99,1.08,1.04,2022-02-04,552,A,46,6.1NRT,286.38,7.81,N
339,-36.6508,-72.87288000000001,303.58,1.14,1.06,2022-02-04,552,A,56,6.1NRT,285.09,10.09,N
412,-53.753190000000004,-69.81821,307.46,1.99,1.38,2022-02-04,1335,T,65,6.1NRT,285.75,24.48,D
693,-27.413529999999998,-70.25614,326.36,1.55,1.23,2022-02-04,1507,T,74,6.1NRT,310.84,22.89,D
694,-37.08129,-73.15285,309.82,1.39,1.17,2022-02-04,1509,T,0,6.1NRT,296.43,11.12,D
695,-37.239259999999994,-71.93867,308.05,1.63,1.26,2022-02-04,1509,T,43,6.1NRT,293.6,8.99,D
696,-37.48498,-73.32903,308.6,1.37,1.16,2022-02-04,1509,T,31,6.1NRT,295.71,8.48,D
697,-37.78242,-73.30003,308.67,1.39,1.17,2022-02-04,1509,T,56,6.1NRT,288.09,11.39,D
698,-45.58167,-72.04642,306.94,2.02,1.39,2022-02-04,1511,T,33,6.1NRT,292.34,14.05,D
1341,-53.753080000000004,-69.81052,323.42,1.39,1.17,2022-02-04,1927,A,71,6.1NRT,289.88,31.58,D
1342,-53.75731,-69.83084000000001,355.09,1.39,1.17,2022-02-04,1927,A,98,6.1NRT,293.38,115.02,D
1343,-53.759890000000006,-69.81379,333.28,1.39,1.17,2022-02-04,1927,A,88,6.1NRT,290.28,51.3,D
1344,-53.764030000000005,-69.83415,325.51,1.39,1.17,2022-02-04,1927,A,45,6.1NRT,292.63,33.05,D
1345,-53.772369999999995,-69.87518,316.35,1.38,1.16,2022-02-04,1927,A,28,6.1NRT,291.18,18.58,D
1346,-53.74973000000001,-69.81981999999999,311.98,1.39,1.17,2022-02-04,1927,A,65,6.1NRT,289.35,16.61,D
1347,-53.76266,-69.84742,310.73,4.68,1.98,2022-02-04,1749,A,42,6.1NRT,286.11,107.22,D
1355,-38.21621,-73.41476999999999,312.52,2.38,1.49,2022-02-04,1932,A,44,6.1NRT,293.22,27.54,D
