,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
347,-32.80137,-70.95153,343.84,0.43,0.46,2021-12-29,520,N,nominal,2.0NRT,288.43,3.99,N
351,-32.80558,-70.95272,307.08,0.43,0.46,2021-12-29,520,N,nominal,2.0NRT,286.87,3.99,N
353,-33.29582,-70.72917,302.25,0.41,0.45,2021-12-29,520,N,nominal,2.0NRT,290.32,0.8,N
354,-33.37847,-70.81445,301.1,0.42,0.45,2021-12-29,520,N,nominal,2.0NRT,287.25,0.49,N
355,-34.10399,-70.45312,300.49,0.39,0.44,2021-12-29,520,N,nominal,2.0NRT,288.2,5.35,N
356,-34.10788,-70.45473,339.75,0.39,0.44,2021-12-29,520,N,nominal,2.0NRT,293.41,5.35,N
357,-34.107,-70.45894,312.32,0.39,0.44,2021-12-29,520,N,nominal,2.0NRT,289.67,5.35,N
360,-36.12835,-71.49468,299.45,0.4,0.44,2021-12-29,520,N,nominal,2.0NRT,285.23,0.6,N
361,-36.13235,-71.49611,299.77,0.4,0.44,2021-12-29,520,N,nominal,2.0NRT,285.79,0.75,N
362,-36.8667,-71.38064,312.41,0.57,0.43,2021-12-29,520,N,nominal,2.0NRT,281.04,2.86,N
377,-38.02843,-72.36799,333.94,0.4,0.44,2021-12-29,520,N,nominal,2.0NRT,289.17,2.69,N
378,-38.02939,-72.36355999999999,325.79,0.4,0.44,2021-12-29,520,N,nominal,2.0NRT,289.97,2.69,N
379,-38.03035,-72.35909000000001,325.16,0.4,0.44,2021-12-29,520,N,nominal,2.0NRT,288.92,2.02,N
380,-38.02746,-72.37249,309.53,0.4,0.44,2021-12-29,520,N,nominal,2.0NRT,289.73,2.74,N
381,-38.030559999999994,-72.37827,330.33,0.4,0.44,2021-12-29,520,N,nominal,2.0NRT,290.05,2.74,N
382,-38.03154,-72.37373000000001,325.39,0.4,0.44,2021-12-29,520,N,nominal,2.0NRT,290.75,2.74,N
