,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
217,-27.3588,-70.22091999999999,300.18,0.4,0.37,2022-01-02,542,N,nominal,2.0NRT,288.74,0.44,N
220,-27.41542,-70.26094,332.13,0.4,0.37,2022-01-02,542,N,nominal,2.0NRT,291.51,7.71,N
221,-27.416090000000004,-70.2569,303.77,0.4,0.37,2022-01-02,542,N,nominal,2.0NRT,290.03,2.08,N
222,-27.419459999999997,-70.25761,322.29,0.4,0.37,2022-01-02,542,N,nominal,2.0NRT,290.44,2.66,N
250,-28.48071,-71.24744,305.46,0.41,0.37,2022-01-02,544,N,nominal,2.0NRT,290.75,0.84,N
268,-32.80225,-70.95186,332.94,0.39,0.36,2022-01-02,544,N,nominal,2.0NRT,290.83,5.63,N
269,-32.80491,-70.95676,299.56,0.39,0.36,2022-01-02,544,N,nominal,2.0NRT,287.43,5.63,N
270,-32.7608,-71.47836,327.26,0.39,0.36,2022-01-02,544,N,nominal,2.0NRT,287.47,2.1,N
271,-32.92781,-71.50598000000001,300.93,0.39,0.36,2022-01-02,544,N,nominal,2.0NRT,290.25,0.77,N
272,-33.33963,-70.79795,332.33,0.38,0.36,2022-01-02,544,N,nominal,2.0NRT,285.71,2.85,N
275,-34.10395,-70.45886999999999,327.74,0.38,0.36,2022-01-02,544,N,nominal,2.0NRT,286.45,3.25,N
276,-34.1046,-70.45469,325.15,0.38,0.36,2022-01-02,544,N,nominal,2.0NRT,285.78,3.25,N
277,-34.107279999999996,-70.4596,328.14,0.38,0.36,2022-01-02,544,N,nominal,2.0NRT,285.39,3.98,N
278,-34.10792,-70.45541999999999,331.33,0.38,0.36,2022-01-02,544,N,nominal,2.0NRT,286.47,3.98,N
293,-39.52709,-71.09306,304.18,0.39,0.36,2022-01-02,546,N,nominal,2.0NRT,278.94,0.68,N
294,-39.52709,-71.11688000000001,305.84,0.39,0.36,2022-01-02,546,N,nominal,2.0NRT,278.39,0.71,N
295,-39.53045,-71.09383000000001,298.23,0.39,0.36,2022-01-02,546,N,nominal,2.0NRT,279.07,0.68,N
346,-17.48933,-71.36006,316.93,0.57,0.43,2022-01-02,540,N,nominal,2.0NRT,291.03,2.44,N
